"Transaction ID";"Transaction Date";"Value";"Account To";"Account Number";"Account Type";"Balance Date";"Balance";"Account Holder ID";"Name";"Date of Birth";"First Line of Address";"Contact Number"
"7389839740";"2023-02-02";"1082.7";"92052516";"80808205";"Basic";"2023-01-31";"280.92";"14515913";"Aymer Chessman";"14/05/1979";"92952 Jackson Place";"07629430015"
"8244446277";"2023-02-02";"1698.0";"37796234";"80808205";"Basic";"2023-01-31";"280.92";"14515913";"Aymer Chessman";"14/05/1979";"92952 Jackson Place";"07629430015"
"3988237213";"2023-02-13";"1017.6";"47483982";"80808205";"Basic";"2023-01-31";"280.92";"14515913";"Aymer Chessman";"14/05/1979";"92952 Jackson Place";"07629430015"
"3776478144";"2023-02-09";"1727.8";"85559926";"81049128";"Basic";"2023-01-31";"694.91";"72939081";"Joanne Shrieves";"21/12/1961";"31 Sauthoff Terrace";"07961408348"
"304709484";"2023-02-11";"1207.7";"91184544";"74252410";"Gold";"2023-01-31";"278.47";"11036099";"Dulcia Crohan";"18/04/1969";"152 Farmco Park";"07136741404"
"275656446";"2023-02-01";"1139.7";"28911002";"81655495";"Basic";"2023-01-31";"315.33";"84399484";"Vernice Blonfield";"15/03/1933";"718 Heath Way";"07981776102"
"9709278754";"2023-02-02";"1091.2";"59705091";"81655495";"Basic";"2023-01-31";"315.33";"84399484";"Vernice Blonfield";"15/03/1933";"718 Heath Way";"07981776102"
"7893312475";"2023-02-13";"1154.7";"33527603";"74441123";"Gold";"2023-01-31";"833.24";"70613921";"Sebastien Cahn";"01/03/2002";"16412 Pennsylvania Point";"07110855146"
"6186639290";"2023-02-14";"1139.7";"40374724";"57790631";"Basic";"2023-01-31";"893.46";"28145258";"Bald Pesterfield";"21/09/1994";"10680 Sundown Crossing";"07591095920"
"664959989";"2023-02-01";"1255.3";"39402264";"70214700";"Basic";"2023-01-31";"152.79";"8454965";"Adrianne MacGahey";"05/01/1934";"42 Fisk Park";"07751618342"
"256401322";"2023-02-06";"1498.3";"30518350";"70214700";"Basic";"2023-01-31";"152.79";"8454965";"Adrianne MacGahey";"05/01/1934";"42 Fisk Park";"07751618342"
"9849651040";"2023-02-01";"1041.9";"19789505";"88160468";"Gold";"2023-01-31";"640.07";"21827357";"Raff Pakeman";"09/03/1997";"76 Ridge Oak Alley";"07596092076"
"7977048825";"2023-02-10";"2084.1";"46215382";"52911248";"Gold";"2023-01-31";"430.16";"94153619";"Port Berrycloth";"04/10/1982";"3 5th Drive";"07614724836"
"9611088159";"2023-02-09";"1582.3";"11463412";"97487639";"Gold";"2023-01-31";"403.96";"85078305";"Adora Medeway";"31/08/1954";"42490 Charing Cross Court";"07420518199"
"7259250836";"2023-02-03";"1121.6";"19956941";"65220738";"Basic";"2023-01-31";"873.56";"31920720";"Alix Rawling";"11/04/1949";"9145 Petterle Street";"07860665629"
"7564360178";"2023-02-05";"1533.5";"98620342";"65220738";"Basic";"2023-01-31";"873.56";"31920720";"Alix Rawling";"11/04/1949";"9145 Petterle Street";"07860665629"
"908048920";"2023-02-01";"1194.4";"97294152";"99729369";"Basic";"2023-01-31";"751.01";"15559813";"Kerrill Dunstan";"18/02/1952";"921 Merrick Way";"07605122700"
"5567411537";"2023-02-03";"1619.6";"71383376";"99729369";"Basic";"2023-01-31";"751.01";"15559813";"Kerrill Dunstan";"18/02/1952";"921 Merrick Way";"07605122700"
"3058104928";"2023-02-04";"1579.8";"38969279";"92195724";"Gold";"2023-01-31";"726.92";"33346290";"Robyn Grinin";"27/05/1938";"9 Grasskamp Lane";"07284741090"
"973893052";"2023-02-01";"1187.7";"51266306";"45706674";"Basic";"2023-01-31";"390.73";"4564384";"Hertha Shuker";"27/01/1964";"693 Kings Way";"07873638393"
"2577914652";"2023-02-10";"1812.5";"13197335";"49216581";"Gold";"2023-01-31";"911.91";"23876156";"Corie Twopenny";"18/09/1973";"69370 Surrey Plaza";"07579843768"
"1931218919";"2023-02-11";"1161.1";"34482885";"21032760";"Gold";"2023-01-31";"541.33";"8732352";"Miguelita Gutsell";"08/01/1956";"2732 Mcbride Drive";"07885021967"
"879871237";"2023-02-11";"1125.0";"58668564";"31680976";"Gold";"2023-01-31";"327.79";"35700806";"Germain Clubb";"23/02/1999";"3 Leroy Way";"07336434478"
"9800350713";"2023-02-09";"1504.7";"30112323";"79033058";"Basic";"2023-01-31";"97.12";"46306899";"Barnaby Boydon";"10/11/1964";"917 Charing Cross Parkway";"07560843018"
"9171513191";"2023-02-10";"1531.0";"74252410";"37017424";"Basic";"2023-01-31";"71.34";"8434185";"Joshia Pole";"04/05/1969";"3752 Annamark Place";"07377565104"
"8011320084";"2023-02-07";"1035.2";"51198722";"42783101";"Gold";"2023-01-31";"289.82";"21705549";"Gannie Mustill";"23/06/1959";"9 Schlimgen Terrace";"07701932569"
"2019114135";"2023-02-01";"1821.6";"87876065";"52814597";"Gold";"2023-01-31";"899.39";"92201515";"Aluin Errey";"11/01/1993";"65 Ramsey Court";"07748137461"
